model,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,latency_ms_per_sample,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_recall_mean
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.001,0.9997,0.0005,1.0,0.9995
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.001,1.0,0.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.092,1.0,0.0,1.0,1.0
Extra Trees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.091,1.0,0.0,1.0,1.0
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.003,1.0,0.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.009,1.0,0.0,1.0,1.0
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.006,1.0,0.0,1.0,1.0
Hybrid (Soft Voting),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.278,,,,
Hybrid (Stacking Meta-Learner),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,420,399,0,0,0.28,,,,
Support Vector Machine,0.9988,1.0,0.9976,1.0,0.9988,1.0,1.0,0.0,0.0024,419,399,0,1,0.023,0.999,0.001,1.0,0.9979
K-Nearest Neighbors,0.9963,1.0,0.9929,1.0,0.9964,0.9988,0.9988,0.0,0.0071,417,399,0,3,0.026,0.9987,0.0012,0.9997,0.9974
